Operator,M,N,Reuse Type,Reuse Amount
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,12,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,12,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,12,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,12,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,12,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,12,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,12,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,12,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,12,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,12,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,12,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,12,vector,1
EltwiseAdd,1,10,vector,1
EltwiseAdd,1,10,vector,1
