Operator,M,N,Reuse Type,Reuse Amount
Gemv,12544,147,matrix,64
Gemv,1,147,vector,8
Gemv,3136,64,matrix,64
Gemv,1,64,vector,8
Gemv,3136,576,matrix,64
Gemv,1,576,vector,8
Gemv,3136,64,matrix,256
Gemv,1,64,vector,8
Gemv,3136,64,matrix,256
Gemv,1,64,vector,8
Gemv,3136,256,matrix,64
Gemv,1,256,vector,8
Gemv,3136,576,matrix,64
Gemv,1,576,vector,8
Gemv,3136,64,matrix,256
Gemv,1,64,vector,8
Gemv,3136,256,matrix,64
Gemv,1,256,vector,8
Gemv,3136,576,matrix,64
Gemv,1,576,vector,8
Gemv,3136,64,matrix,256
Gemv,1,64,vector,8
Gemv,3136,256,matrix,128
Gemv,1,256,vector,8
Gemv,784,1152,matrix,128
Gemv,1,1152,vector,8
Gemv,784,128,matrix,512
Gemv,1,128,vector,8
Gemv,784,256,matrix,512
Gemv,1,256,vector,8
Gemv,784,512,matrix,128
Gemv,1,512,vector,8
Gemv,784,1152,matrix,128
Gemv,1,1152,vector,8
Gemv,784,128,matrix,512
Gemv,1,128,vector,8
Gemv,784,512,matrix,128
Gemv,1,512,vector,8
Gemv,784,1152,matrix,128
Gemv,1,1152,vector,8
Gemv,784,128,matrix,512
Gemv,1,128,vector,8
Gemv,784,512,matrix,128
Gemv,1,512,vector,8
Gemv,784,1152,matrix,128
Gemv,1,1152,vector,8
Gemv,784,128,matrix,512
Gemv,1,128,vector,8
Gemv,784,512,matrix,256
Gemv,1,512,vector,8
Gemv,196,2304,matrix,256
Gemv,1,2304,vector,8
Gemv,196,256,matrix,1024
Gemv,1,256,vector,8
Gemv,196,512,matrix,1024
Gemv,1,512,vector,8
Gemv,196,1024,matrix,256
Gemv,1,1024,vector,8
Gemv,196,2304,matrix,256
Gemv,1,2304,vector,8
Gemv,196,256,matrix,1024
Gemv,1,256,vector,8
Gemv,196,1024,matrix,256
Gemv,1,1024,vector,8
Gemv,196,2304,matrix,256
Gemv,1,2304,vector,8
Gemv,196,256,matrix,1024
Gemv,1,256,vector,8
Gemv,196,1024,matrix,256
Gemv,1,1024,vector,8
Gemv,196,2304,matrix,256
Gemv,1,2304,vector,8
Gemv,196,256,matrix,1024
Gemv,1,256,vector,8
Gemv,196,1024,matrix,256
Gemv,1,1024,vector,8
Gemv,196,2304,matrix,256
Gemv,1,2304,vector,8
Gemv,196,256,matrix,1024
Gemv,1,256,vector,8
Gemv,196,1024,matrix,256
Gemv,1,1024,vector,8
Gemv,196,2304,matrix,256
Gemv,1,2304,vector,8
Gemv,196,256,matrix,1024
Gemv,1,256,vector,8
Gemv,196,1024,matrix,512
Gemv,1,1024,vector,8
Gemv,49,4608,matrix,512
Gemv,1,4608,vector,8
Gemv,49,512,matrix,2048
Gemv,1,512,vector,8
Gemv,49,1024,matrix,2048
Gemv,1,1024,vector,8
Gemv,49,2048,matrix,512
Gemv,1,2048,vector,8
Gemv,49,4608,matrix,512
Gemv,1,4608,vector,8
Gemv,49,512,matrix,2048
Gemv,1,512,vector,8
Gemv,49,2048,matrix,512
Gemv,1,2048,vector,8
Gemv,49,4608,matrix,512
Gemv,1,4608,vector,8
Gemv,49,512,matrix,2048
Gemv,1,512,vector,8
Gemv,8,8,matrix,1000
EltwiseAdd,8,256,matrix,1
EltwiseAdd,8,256,matrix,1
EltwiseAdd,8,256,matrix,1
EltwiseAdd,8,512,matrix,1
EltwiseAdd,8,512,matrix,1
EltwiseAdd,8,512,matrix,1
EltwiseAdd,8,512,matrix,1
EltwiseAdd,8,1024,matrix,1
EltwiseAdd,8,1024,matrix,1
EltwiseAdd,8,1024,matrix,1
EltwiseAdd,8,1024,matrix,1
EltwiseAdd,8,1024,matrix,1
EltwiseAdd,8,1024,matrix,1
EltwiseAdd,8,2048,matrix,1
EltwiseAdd,8,2048,matrix,1
EltwiseAdd,8,2048,matrix,1
