Operator,M,N,Reuse Type,Reuse Amount
Gemv,8,4744,matrix,2048
Gemv,8,4744,matrix,2048
Gemv,8,4744,matrix,2048
Gemv,8,4744,matrix,2048
Gemv,8,4744,matrix,2048
Gemv,8,4744,matrix,2048
Gemv,8,4744,matrix,2048
Gemv,8,4744,matrix,2048
Gemv,8,4744,matrix,2048
Gemv,8,4744,matrix,2048
Gemv,8,8,matrix,320
EltwiseAdd,8,512,matrix,1
EltwiseAdd,8,512,matrix,1
EltwiseAdd,8,512,matrix,1
EltwiseAdd,8,512,matrix,1
EltwiseAdd,8,512,matrix,1
EltwiseAdd,8,512,matrix,1
EltwiseAdd,8,512,matrix,1
EltwiseAdd,8,512,matrix,1
EltwiseAdd,8,512,matrix,1
EltwiseAdd,8,512,matrix,1
Gemv,8,480,matrix,1280
Gemv,8,480,matrix,1280
Gemv,8,480,matrix,1280
Gemv,8,480,matrix,1280
Gemv,8,480,matrix,1280
Gemv,8,480,matrix,1280
Gemv,8,480,matrix,1280
Gemv,8,480,matrix,1280
Gemv,8,480,matrix,1280
Gemv,8,480,matrix,1280
Gemv,8,8,matrix,320
EltwiseAdd,8,320,matrix,1
EltwiseAdd,8,320,matrix,1
EltwiseAdd,8,320,matrix,1
EltwiseAdd,8,320,matrix,1
EltwiseAdd,8,320,matrix,1
EltwiseAdd,8,320,matrix,1
EltwiseAdd,8,320,matrix,1
EltwiseAdd,8,320,matrix,1
EltwiseAdd,8,320,matrix,1
EltwiseAdd,8,320,matrix,1
Gemv,80,640,vector,512
Gemv,80,512,vector,4232
