Operator,M,N,Reuse Type,Reuse Amount
Gemv,0,197,vector,2304
Gemv,0,197,vector,2304
Gemv,0,197,vector,2304
Gemv,0,197,vector,2304
Gemv,0,197,vector,2304
Gemv,0,197,vector,2304
Gemv,0,197,vector,2304
Gemv,0,197,vector,2304
Gemv,0,197,vector,2304
Gemv,0,197,vector,2304
Gemv,0,197,vector,2304
Gemv,0,197,vector,2304
Gemv,1,768,vector,1
Gemv,196,768,matrix,768
Gemv,1,197,vector,197
Gemv,1,197,vector,64
Gemv,1,197,vector,768
Gemv,0,197,vector,768
Gemv,0,197,vector,3072
Gemv,1,197,vector,197
Gemv,1,197,vector,64
Gemv,1,197,vector,768
Gemv,0,197,vector,768
Gemv,0,197,vector,3072
Gemv,1,197,vector,197
Gemv,1,197,vector,64
Gemv,1,197,vector,768
Gemv,0,197,vector,768
Gemv,0,197,vector,3072
Gemv,1,197,vector,197
Gemv,1,197,vector,64
Gemv,1,197,vector,768
Gemv,0,197,vector,768
Gemv,0,197,vector,3072
Gemv,1,197,vector,197
Gemv,1,197,vector,64
Gemv,1,197,vector,768
Gemv,0,197,vector,768
Gemv,0,197,vector,3072
Gemv,1,197,vector,197
Gemv,1,197,vector,64
Gemv,1,197,vector,768
Gemv,0,197,vector,768
Gemv,0,197,vector,3072
Gemv,1,197,vector,197
Gemv,1,197,vector,64
Gemv,1,197,vector,768
Gemv,0,197,vector,768
Gemv,0,197,vector,3072
Gemv,1,197,vector,197
Gemv,1,197,vector,64
Gemv,1,197,vector,768
Gemv,0,197,vector,768
Gemv,0,197,vector,3072
Gemv,1,197,vector,197
Gemv,1,197,vector,64
Gemv,1,197,vector,768
Gemv,0,197,vector,768
Gemv,0,197,vector,3072
Gemv,1,197,vector,197
Gemv,1,197,vector,64
Gemv,1,197,vector,768
Gemv,0,197,vector,768
Gemv,0,197,vector,3072
Gemv,1,197,vector,197
Gemv,1,197,vector,64
Gemv,1,197,vector,768
Gemv,0,197,vector,768
Gemv,0,197,vector,3072
Gemv,1,197,vector,197
Gemv,1,197,vector,64
Gemv,1,197,vector,768
Gemv,0,197,vector,768
Gemv,0,197,vector,3072
Gemv,1,1,vector,768
EltwiseAdd,0,0,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,1,197,vector,1
EltwiseAdd,1,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,1,197,vector,1
EltwiseAdd,1,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,1,197,vector,1
EltwiseAdd,1,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,1,197,vector,1
EltwiseAdd,1,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,1,197,vector,1
EltwiseAdd,1,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,1,197,vector,1
EltwiseAdd,1,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,1,197,vector,1
EltwiseAdd,1,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,1,197,vector,1
EltwiseAdd,1,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,1,197,vector,1
EltwiseAdd,1,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,1,197,vector,1
EltwiseAdd,1,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,1,197,vector,1
EltwiseAdd,1,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,1,197,vector,1
EltwiseAdd,1,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
EltwiseAdd,0,197,vector,1
