NOTE: This wasn't generated from a script. I looked through the first few outputs with the channels from the parsing
script and wrote down the pattern that I saw in the first few lines here. Then I had Copilot generate the rest of the
data based on the pattern I wrote. I did a quick cross-reference of what Copilot generated with what the parsing script
was writing for the later channels. They only mostly matched, mainly because it's tricky to get the bank data from the 
trace to exactly match the data in the weights numpy file, which forced me to use a threshold when trying to match
the weight matrix data to the bank data from the trace. This causes the script to get the wrong indexes sometimes. But
if the pattern can be found, then the inconsistencies from what the parsing script is generating can be ignored, since
eventually the parsing script does get the right indexes. 

Ch: 0 bg: 0 b: 0, mtx r: 0-7 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 0 bg: 0 b: 1, mtx r: 0-7, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 1 bg: 0 b: 0, mtx r: 64-71 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 1 bg: 0 b: 1, mtx r: 64-71, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 2 bg: 0 b: 0, mtx r: 128-135 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 2 bg: 0 b: 1, mtx r: 128-135, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 3 bg: 0 b: 0, mtx r: 192-199 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 3 bg: 0 b: 1, mtx r: 192-199, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 4 bg: 0 b: 0, mtx r: 256-263 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 4 bg: 0 b: 1, mtx r: 256-263, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 5 bg: 0 b: 0, mtx r: 320-327 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 5 bg: 0 b: 1, mtx r: 320-327, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 6 bg: 0 b: 0, mtx r: 384-391 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 6 bg: 0 b: 1, mtx r: 384-391, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 7 bg: 0 b: 0, mtx r: 448-455 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 7 bg: 0 b: 1, mtx r: 448-455, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 8 bg: 0 b: 0, mtx r: 512-519 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 8 bg: 0 b: 1, mtx r: 512-519, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 9 bg: 0 b: 0, mtx r: 576-583 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 9 bg: 0 b: 1, mtx r: 576-583, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 10 bg: 0 b: 0, mtx r: 640-647 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 10 bg: 0 b: 1, mtx r: 640-647, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
Ch: 11 bg: 0 b: 0, mtx r: 704-711 c: 0-127, 256-383, 512-639, 768-895, vec: 0-127, 256-383, 512-639, 768-895
Ch: 11 bg: 0 b: 1, mtx r: 704-711, c: 128-255, 384-511, 640-767, 896-1023 vec: 128-255, 384-511, 640-767, 896-1023
